Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
Plin #1;Pool;11/02/2024;-515.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;1,0%;;0,0%;;;;GARANTIZA SOLUCOES FINANCEIRAS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Privada;CCB;Produto Encerrado
Plin #2;Pool;17/02/2024;-509.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;1,0%;;0,0%;;;;GARANTIZA SOLUCOES FINANCEIRAS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Privada;CCB;Captação finalizada
Plin #3;Pool;07/03/2024;-490.0;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;1,0%;;0,0%;;;;GARANTIZA SOLUCOES FINANCEIRAS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Privada;CCB;Captação finalizada
Plin #4;Pool;16/03/2024;-481.0;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;1,0%;;0,0%;;;;GARANTIZA SOLUCOES FINANCEIRAS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Privada;CCB;Produto Encerrado
Learnbase Working Capital #1;Pool;17/05/2024;-419.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;1,0%;;0,0%;;;;Learnbase Gestão e Consultoria Educacional S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;CCB;Pré-captação
a55 Pool #1;Pool;12/08/2024;-332.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;100,0%;10,0%;;0,0%;;;;a55 Consultoria em Credito Ltda.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Produto Encerrado
Intreguei Pool #1;Pool;16/10/2024;-267.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;;;INTREGUEI SOLUCOES E TECNOLOGIA LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;;Duplicata;
Pool André Franco #1;Pool;16/11/2024;-236.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;;;AMFI CONSULTING LTDA;;;Duplicata;
UnionNational Pool #1;Pool;25/11/2024;-227.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;33,4%;20,0%;;0,0%;;;;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Produto Encerrado
Allya #1;Pool;19/12/2024;-203.0;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;1,0%;;0,0%;;;;ALLYA SERVIÇOS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Privada;CCB;Produto Encerrado
Digcap Pool #1;Pool;21/12/2024;-201.0;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;100,0%;10,0%;;0,0%;;Prazo máximo por ativo (dias), Concentração máx por sacado;;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Privada;Ativo Judicial;Produto Encerrado
Allya #2;Pool;06/01/2025;-185.0;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;1,0%;;0,0%;;;;ALLYA SERVIÇOS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Privada;CCB;Produto Encerrado
UnionNational Pool #2;Pool;24/01/2025;-167.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;100,0%;20,0%;;0,0%;;;;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Produto Encerrado
